Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
1,7/1/2011,48.27,2976,NA,NA,NA,NA,NA,211.4047419,7742,FALSE
1,14/01/2011,35.4,2983,NA,NA,NA,NA,NA,211.4574109,7742,FALSE
1,21/01/2011,44.04,3016,NA,NA,NA,NA,NA,211.8272343,7742,FALSE
1,28/01/2011,43.83,3.01,NA,NA,NA,NA,NA,212.1970577,7742,FALSE
1,4/2/2011,42.27,2989,NA,NA,NA,NA,NA,212.5668812,7742,FALSE
1,11/2/2011,36.39,3022,NA,NA,NA,NA,NA,212.9367046,7742,TRUE
1,18/02/2011,57.36,3045,NA,NA,NA,NA,NA,213.2478853,7742,FALSE
1,25/02/2011,62.9,3065,NA,NA,NA,NA,NA,213.535609,7742,FALSE
1,4/3/2011,59.58,3288,NA,NA,NA,NA,NA,213.8233327,7742,FALSE
1,11/3/2011,53.56,3459,NA,NA,NA,NA,NA,214.1110564,7742,FALSE
1,18/03/2011,62.76,3488,NA,NA,NA,NA,NA,214.3627114,7742,FALSE
1,25/03/2011,69.97,3473,NA,NA,NA,NA,NA,214.5999389,7742,FALSE
1,1/4/2011,59.17,3524,NA,NA,NA,NA,NA,214.8371664,7682,FALSE
1,8/4/2011,67.84,3622,NA,NA,NA,NA,NA,215.0743939,7682,FALSE
1,15/04/2011,71.27,3743,NA,NA,NA,NA,NA,215.2918561,7682,FALSE
1,22/04/2011,72.99,3807,NA,NA,NA,NA,NA,215.4599053,7682,FALSE
1,29/04/2011,72.03,3.81,NA,NA,NA,NA,NA,215.6279544,7682,FALSE
1,6/5/2011,64.61,3906,NA,NA,NA,NA,NA,215.7960035,7682,FALSE
1,13/05/2011,75.64,3899,NA,NA,NA,NA,NA,215.9640526,7682,FALSE
1,20/05/2011,67.63,3907,NA,NA,NA,NA,NA,215.7339202,7682,FALSE
1,27/05/2011,77.72,3786,NA,NA,NA,NA,NA,215.5037878,7682,FALSE
1,3/6/2011,83,3699,NA,NA,NA,NA,NA,215.2736553,7682,FALSE
1,10/6/2011,83.13,3648,NA,NA,NA,NA,NA,215.0435229,7682,FALSE
1,17/06/2011,86.41,3637,NA,NA,NA,NA,NA,214.9980596,7682,FALSE
1,24/06/2011,83.58,3594,NA,NA,NA,NA,NA,215.0910982,7682,FALSE
1,1/7/2011,85.55,3524,NA,NA,NA,NA,NA,215.1841368,7962,FALSE
1,8/7/2011,85.83,3.48,NA,NA,NA,NA,NA,215.2771754,7962,FALSE
1,15/07/2011,88.54,3575,NA,NA,NA,NA,NA,215.3611087,7962,FALSE
1,22/07/2011,85.77,3651,NA,NA,NA,NA,NA,215.4222784,7962,FALSE
1,29/07/2011,86.83,3682,NA,NA,NA,NA,NA,215.4834482,7962,FALSE
1,5/8/2011,91.65,3684,NA,NA,NA,NA,NA,215.544618,7962,FALSE
1,12/8/2011,90.76,3638,NA,NA,NA,NA,NA,215.6057878,7962,FALSE
1,19/08/2011,89.94,3554,NA,NA,NA,NA,NA,215.6693107,7962,FALSE
1,26/08/2011,87.96,3523,NA,NA,NA,NA,NA,215.7332258,7962,FALSE
1,2/9/2011,87.83,3533,NA,NA,NA,NA,NA,215.7971409,7962,FALSE
1,9/9/2011,76,3546,NA,NA,NA,NA,NA,215.861056,7962,TRUE
1,16/09/2011,79.94,3526,NA,NA,NA,NA,NA,216.0410526,7962,FALSE
1,23/09/2011,75.8,3467,NA,NA,NA,NA,NA,216.3758246,7962,FALSE
1,30/09/2011,79.69,3355,NA,NA,NA,NA,NA,216.7105965,7962,FALSE
1,7/10/2011,69.31,3285,NA,NA,NA,NA,NA,217.0453684,7866,FALSE
1,14/10/2011,71.74,3274,NA,NA,NA,NA,NA,217.3552733,7866,FALSE
1,21/10/2011,63.71,3353,NA,NA,NA,NA,NA,217.5159762,7866,FALSE
1,28/10/2011,66.57,3372,NA,NA,NA,NA,NA,217.6766791,7866,FALSE
1,4/11/2011,54.98,3332,NA,NA,NA,NA,NA,217.837382,7866,FALSE
1,11/11/2011,59.11,3297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7866,FALSE
